group_size, ncues, path_length, decision_time
6, 2, 555.86, 1239
6, 2, 553.837, 1243
6, 2, 602.963, 1380
6, 2, 568.674, 1271
6, 2, 562.007, 1254
6, 2, 562.61, 1260
6, 2, 609.517, 1401
6, 2, 571.33, 1283
6, 2, 571.517, 1276
6, 2, 556.485, 1241
6, 2, 565.578, 1264
6, 2, 563.804, 1269
6, 2, 578.141, 1299
6, 2, 554.515, 1240
6, 2, 552.374, 1236
6, 2, 592.303, 1345
6, 2, 559.215, 1243
6, 2, 559.627, 1252
6, 2, 557.05, 1245
6, 2, 567.06, 1266
6, 2, 562.064, 1250
6, 2, 566.351, 1268
6, 2, 566.362, 1265
6, 2, 559.903, 1250
6, 2, 567.157, 1265
6, 2, 569.927, 1270
6, 2, 564.663, 1257
6, 2, 566.596, 1261
6, 2, 572.309, 1288
6, 2, 573.501, 1290
6, 2, 560.338, 1251
6, 2, 559.734, 1243
6, 2, 563.763, 1261
6, 2, 556.819, 1254
6, 2, 560.117, 1251
6, 2, 572.225, 1277
6, 2, 626.537, 1460
6, 2, 579.476, 1307
6, 2, 562.834, 1256
6, 2, 557.344, 1251
6, 2, 560.689, 1250
6, 2, 566.941, 1261
6, 2, 568.173, 1260
6, 2, 562.531, 1254
6, 2, 570.715, 1285
6, 2, 565.874, 1268
6, 2, 560.996, 1254
6, 2, 563.475, 1258
6, 2, 574.907, 1288
6, 2, 564.111, 1268
6, 2, 580.262, 1309
6, 2, 567.085, 1262
6, 2, 574.067, 1281
6, 2, 567.678, 1264
6, 2, 568.223, 1264
6, 2, 564.377, 1257
6, 2, 569.942, 1272
6, 2, 559.405, 1248
6, 2, 561.152, 1258
6, 2, 565.709, 1264
6, 2, 573.349, 1282
6, 2, 561.399, 1252
6, 2, 564.269, 1260
6, 2, 559.515, 1250
6, 2, 566.171, 1258
6, 2, 555.896, 1238
6, 2, 562.994, 1262
6, 2, 567.127, 1269
6, 2, 561.91, 1254
6, 2, 557.282, 1241
6, 2, 570.1, 1284
6, 2, 560.755, 1249
6, 2, 553.32, 1233
6, 2, 571.39, 1275
6, 2, 571.431, 1288
6, 2, 558.882, 1250
6, 2, 562.501, 1256
6, 2, 564.69, 1262
6, 2, 563.988, 1257
6, 2, 561.046, 1249
6, 2, 556.007, 1248
6, 2, 566.594, 1264
6, 2, 572.142, 1279
6, 2, 557.66, 1244
6, 2, 558.412, 1242
6, 2, 570.287, 1284
6, 2, 554.476, 1240
6, 2, 564.599, 1257
6, 2, 570.389, 1283
6, 2, 577.19, 1299
6, 2, 566.655, 1264
6, 2, 567.923, 1266
6, 2, 557.045, 1246
6, 2, 567, 1272
6, 2, 553.145, 1233
6, 2, 570.062, 1276
6, 2, 568.536, 1277
6, 2, 586.878, 1334
6, 2, 562.569, 1254
6, 2, 558.092, 1247
6, 2, 559.652, 1253
6, 2, 560.42, 1254
6, 2, 558.863, 1246
6, 2, 552.402, 1237
6, 2, 570.937, 1298
6, 2, 555.285, 1243
6, 2, 566.494, 1264
6, 2, 555.734, 1248
6, 2, 566.789, 1267
6, 2, 565.529, 1266
6, 2, 572.65, 1285
6, 2, 552.267, 1236
6, 2, 584.95, 1329
6, 2, 575.312, 1293
6, 2, 557.091, 1248
6, 2, 558.768, 1241
6, 2, 549.264, 1227
6, 2, 563.245, 1263
6, 2, 563.318, 1256
